              x              v           E(1)           V(1)           E(2)           V(2)           E(3)           V(3)           E(4)           V(4)           E(5)           V(5)           E(6)           V(6)           E(7)           V(7)           E(8)           V(8)           E(9)           V(9)          E(10)          V(10)
      0.0000000     20.0000000      0.3286450      0.3286855      1.3101616      1.3104296      2.0488309      2.0536797      2.9549028      2.9555367      5.2141415      5.2133924      7.8124505      7.8055262      8.4172404      8.4101223     11.6303715     11.6323741     15.4698859     15.4742173     17.8304225     17.8440050
      0.0250000     20.0000000      0.3286450      0.3287266      1.3101616      1.3107008      2.0488309      2.0585829      2.9549028      2.9561774      5.2141415      5.2126363      7.8124505      7.7985493      8.4172404      8.4029527     11.6303715     11.6343871     15.4698859     15.4785609     17.8304225     17.8576059
      0.0500000     20.0000000      0.3286450      0.3287686      1.3101616      1.3109783      2.0488309      2.0635956      2.9549028      2.9568316      5.2141415      5.2118664      7.8124505      7.7914665      8.4172404      8.3956796     11.6303715     11.6364212     15.4698859     15.4829291     17.8304225     17.8712437
      0.0750000     20.0000000      0.3286450      0.3288122      1.3101616      1.3112653      2.0488309      2.0687739      2.9549028      2.9575064      5.2141415      5.2110755      7.8124505      7.7842238      8.4172404      8.3882505     11.6303715     11.6384870     15.4698859     15.4873342     17.8304225     17.8849368
      0.1000000     20.0000000      0.3286450      0.3288578      1.3101616      1.3115652      2.0488309      2.0741760      2.9549028      2.9582089      5.2141415      5.2102562      7.8124505      7.7767661      8.4172404      8.3806115     11.6303715     11.6405951     15.4698859     15.4917888     17.8304225     17.8987038
      0.1250000     20.0000000      0.3286450      0.3289061      1.3101616      1.3118816      2.0488309      2.0798624      2.9549028      2.9589466      5.2141415      5.2094010      7.8124505      7.7690366      8.4172404      8.3727073     11.6303715     11.6427568     15.4698859     15.4963053     17.8304225     17.9125634
      0.1500000     20.0000000      0.3286450      0.3289575      1.3101616      1.3122180      2.0488309      2.0858969      2.9549028      2.9597274      5.2141415      5.2085020      7.8124505      7.7609764      8.4172404      8.3644807     11.6303715     11.6449832     15.4698859     15.5008967     17.8304225     17.9265345
      0.1750000     20.0000000      0.3286450      0.3290129      1.3101616      1.3125784      2.0488309      2.0923474      2.9549028      2.9605596      5.2141415      5.2075509      7.8124505      7.7525241      8.4172404      8.3558722     11.6303715     11.6472861     15.4698859     15.5055758     17.8304225     17.9406358
      0.2000000     20.0000000      0.3286450      0.3290727      1.3101616      1.3129670      2.0488309      2.0992860      2.9549028      2.9614521      5.2141415      5.2065389      7.8124505      7.7436154      8.4172404      8.3468195     11.6303715     11.6496775     15.4698859     15.5103560     17.8304225     17.9548866
      0.2250000     20.0000000      0.3286450      0.3291378      1.3101616      1.3133885      2.0488309      2.1067908      2.9549028      2.9624143      5.2141415      5.2054566      7.8124505      7.7341823      8.4172404      8.3372569     11.6303715     11.6521698     15.4698859     15.5152508     17.8304225     17.9693061
